"id","teleport","pathmag","final","teleportExcess"
"rfb",1,8.306749652,8.306742927,6.7250000004293e-06
"rfb",2,8.35986695,8.359856428,1.0521999998403e-05
"rfb",3,7.882957858,7.882956929,9.29000000482461e-07
"cfg",1,9.021656246,9.016066372,0.00558987399999999
"cfg",2,12.639970674,8.956585886,3.683384788
"cfg",3,10.08266002076,8.947992402,1.13466761876
"dft",1,8.216864998,8.216551833,0.000313164999999671
"dft",2,8.007963322,8.005628756,0.00233456600000004
"dft",3,9.837813875,8.575992722,1.261821153
"mcf",1,8.048971767,8.048383366,0.000588401000001681
"mcf",2,7.312094424,7.312094424,0
"mcf",3,7.626113047,7.626113047,0
"jcv",1,7.935645689,7.935645689,0
"jcv",2,8.359501812,8.359501812,0
"jcv",3,14.390011129,7.931213476,6.458797653
"mjk",1,8.242714513,8.238003117,0.00471139599999937
"mjk",2,7.759934038,7.759934038,0
"mjk",3,7.768730101,7.768730101,0
"ols",1,10.663127449,8.270000761,2.393126688
"ols",2,8.510188984,8.510188984,0
"ols",3,1.634155896,1.634155896,0
"dcf",1,8.710637566,8.710337721,0.000299844999998911
"dcf",2,8.881771164,8.878005472,0.00376569199999999
"dcf",3,8.9334874552,8.924676623,0.00881083220000001
"ipd",1,21.619983501,8.544487868,13.075495633
"ipd",2,11.43766722755,8.839303335,2.59836389255
"ipd",3,9.0382873623,8.959018602,0.0792687602999997
"ghy",1,17.879106189,8.919485967,8.959620222
"ghy",2,9.487209968,8.923007791,0.564202177
"ghy",3,8.729246972,8.729246972,0
"yfg",1,8.109956801,8.10652396,0.00343284099999863
"yfg",2,8.1782591921,8.174236402,0.00402279010000051
"yfg",3,8.340588904,8.338743213,0.00184569099999976
"srl",1,15.3969884489,9.55130712,5.8456813289
"srl",2,9.5103197647,9.338619678,0.1717000867
"srl",3,15.1908452168,9.274232506,5.9166127108
"sre",1,8.7774137179,8.773278754,0.00413496390000034
"sre",2,9.1045326974,8.631106023,0.473426674400001
"sre",3,8.8996836419,8.893314788,0.00636885389999975
"thh",1,11.0439329591,8.049010394,2.9949225651
"thh",2,9.482292668,9.359855971,0.122436696999999
"thh",3,8.6665051582,8.574971262,0.0915338961999996
"yel",1,8.273087362,8.268067663,0.00501969899999999
"yel",2,7.9636401362,7.929529272,0.0341108642000005
"yel",3,9.14818276,9.098828102,0.0493546579999986
"blu",1,8.4843125689,8.478593885,0.00571868389999963
"blu",2,8.5924149495,8.573960357,0.0184545924999995
"blu",3,11.5442183921,8.790376631,2.7538417611
"gol",1,14.316296753,8.857346517,5.458950236
"gol",2,8.584568933,8.579945672,0.00462326100000077
"gol",3,13.3382034017,8.690335541,4.6478678607
"rua",1,10.676225349,8.086109715,2.590115634
"rua",2,8.226677851,8.226665979,1.18719999999684e-05
"rua",3,8.349885293,8.349357512,0.000527781000000616
"swp",1,14.834539132,8.180924919,6.653614213
"swp",2,8.529840491,8.512931291,0.0169092000000006
"swp",3,8.3989056479,8.39854414,0.000361507899999225
"fal",1,9.1895665554,9.183630602,0.00593595340000164
"fal",2,12.1214675642,9.4407779,2.6806896642
"fal",3,9.1612032954,9.154741745,0.00646155039999918
