Participant ID,Teleport,xbefore,zbefore,InZone,Needs Transform,x,z,distance from previous,distance from previous with begin,Final IPD
rfb,1,0.0513493,7.2241,yes,,0.0513493,7.2241,,7.224282495,-1
rfb,1,0.06313457,8.306503,yes,,0.06313457,8.306503,1.082467157,1.082467157,8.306742927
rfb,2,-0.03204775,2.862775,yes,yes,0.03204775,7.137225,1.169691169,7.13729695,-1
rfb,2,-0.03204775,1.640205,yes,yes,0.03204775,8.359795,1.22257,1.22257,8.359856428
rfb,3,0.08842199,5.902316,yes,,0.08842199,5.902316,2.458125524,5.902978283,-1
rfb,3,0.1202961,7.882039,yes,,0.1202961,7.882039,1.979979575,1.979979575,7.882956929
cfg,1,0.1304387,3.759183,no,,0.1304387,3.759183,4.122868476,3.761445345,-1
cfg,1,0.01789978,6.520657,yes,,0.01789978,6.520657,2.76376621,2.76376621,-1
cfg,1,-0.01992607,8.016216,yes,,-0.01992607,8.016216,1.496037271,1.496037271,-1
cfg,1,-0.05858989,9.015876,yes,,-0.05858989,9.015876,1.00040742,1.00040742,9.016066372
cfg,2,-0.1047363,6.743821,no,yes,0.1047363,9.015876,0.16332619,9.016484334,-1
cfg,2,-0.1420626,2.211448,yes,yes,0.1420626,7.788552,1.227891467,1.227891467,-1
cfg,2,0.09611121,1.142788,yes,yes,-0.09611121,8.857212,1.094879427,1.094879427,-1
cfg,2,0.05953483,0.594554,yes,yes,-0.05953483,9.405446,0.5494527735,0.5494527735,-1
cfg,2,0.4848661,1.082437,yes,yes,-0.4848661,8.917563,0.6472530502,0.6472530502,-1
cfg,2,0.3854976,1.051714,yes,yes,-0.3854976,8.948286,0.1040096223,0.1040096223,8.956585886
cfg,3,0.1242337,8.831919,yes,,0.1242337,8.831919,0.5228453661,8.83279272,-1
cfg,3,0.1412386,9.007154,yes,,0.1412386,9.007154,0.1760581491,0.1760581491,-1
cfg,3,0.07406697,9.331701,yes,,0.07406697,9.331701,0.3314253809,0.3314253809,-1
cfg,3,-0.4747168,8.983767,yes,,-0.4747168,8.983767,0.6497858836,0.6497858836,-1
cfg,3,-0.3934743,8.939337,yes,,-0.3934743,8.939337,0.09259788716,0.09259788716,8.947992402
dft,1,-0.01293787,6.059308,yes,,-0.01293787,6.059308,2.905060243,6.059321812,-1
dft,1,0.02526146,8.216513,yes,,0.02526146,8.216513,2.157543186,2.157543186,8.216551833
dft,2,0.2287458,4.135173,no,yes,-0.2287458,5.864827,2.365363974,5.86928619,-1
dft,2,0.19539,1.996756,yes,yes,-0.19539,8.003244,2.138677132,2.138677132,8.005628756
dft,3,-2.593281,4.521485,no,,-2.593281,4.521485,4.227591156,5.212382656,-1
dft,3,-0.3539128,8.568687,yes,,-0.3539128,8.568687,4.625431219,4.625431219,8.575992722
mcf,1,0.06052142,5.424376,yes,,0.06052142,5.424376,3.17150554,5.424713617,-1
mcf,1,0.02210863,8.048353,yes,,0.02210863,8.048353,2.62425815,2.62425815,8.048383366
mcf,2,0.02210863,2.687939,yes,yes,-0.02210863,7.312061,0.7376185161,7.312094424,7.312094424
mcf,3,0.02210863,7.626081,yes,,0.02210863,7.626081,0.3171178432,7.626113047,7.626113047
jcv,1,0.2168978,7.932681,,,0.2168978,7.932681,0.3632442439,7.935645689,7.935645689
jcv,2,-0.2688329,1.644822,,yes,0.2688329,8.355178,0.425677072,8.359501812,8.359501812
jcv,3,-1.360931,11.0054,,,-1.360931,11.0054,3.111238824,11.08922731,-1
jcv,3,-1.773171,7.73046,,,-1.773171,7.73046,3.300783819,3.300783819,7.931213476
mjk,1,-0.1146808,5.888899,,,-0.1146808,5.888899,2.478293094,5.890015545,-1
mjk,1,-0.03658595,6.988123,,,-0.03658595,6.988123,1.10199465,1.10199465,-1
mjk,1,-0.095202,8.237453,,,-0.095202,8.237453,1.250704318,1.250704318,8.238003117
mjk,2,-0.1264318,2.241096,,yes,0.1264318,7.758904,0.5273809692,7.759934038,7.759934038
mjk,3,0.01935124,7.768706,,,0.01935124,7.768706,0.1075282546,7.768730101,7.768730101
ols,1,0.0112,7.23066,,,0.0112,7.23066,0.5381077409,7.230668674,-1
ols,1,-0.07287607,9.436378,,,-0.07287607,9.436378,2.207319796,2.207319796,-1
