Distance Travelled,teleport,id,Shortest Path,Excess,ath overhead/ratio,Path Efficiency
18.93998777,1,rfb,9.61288382,9.32710395,1.970271162,0.507544352
16.22973043,2,rfb,8.74944055,7.48028988,1.854944935,0.539099561
13.92731762,3,rfb,8.464476196,5.462841424,1.645384463,0.607760692
11.76373767,1,cfg,9.444773845,2.318963825,1.245528783,0.802871852
22.39114502,2,cfg,8.809481928,13.58166309,2.541709626,0.393435973
14.70019072,3,cfg,10.61598566,4.084205059,1.384722172,0.722166526
7.454570583,1,dft,7.454417561,0.000153022,1.000020528,0.999979473
7.843612819,2,dft,7.769930575,0.073682243,1.009482999,0.990606084
13.11305999,3,dft,9.059744691,4.0533153,1.447398402,0.69089478
15.85356531,1,mcf,8.900595017,6.952970295,1.781180391,0.561425449
8.379817858,2,mcf,8.331650369,0.048167489,1.005781266,0.994251965
7.922528826,3,mcf,7.922528826,0,1,1
5.689644142,1,jcv,5.689644142,0,1,1
7.219409523,2,jcv,7.219409523,0,1,1
7.238516246,3,jcv,7.238516246,0,1,1
7.796721058,1,mjk,7.796721058,0,1,1
7.902136122,2,mjk,7.880391749,0.021744373,1.002759301,0.997248292
7.842790561,3,mjk,7.715930912,0.126859649,1.016441263,0.98382468
6.999720349,1,ols,6.999720349,0,1,1
7.539412148,2,ols,7.539412148,0,1,1
8.842241679,3,ols,8.842241679,0,1,1
8.382551068,1,dcf,8.380221769,0.002329299,1.000277952,0.999722125
7.085142256,2,dcf,7.085057339,8.4918E-05,1.000011985,0.999988015
7.566653146,3,dcf,7.566653146,0,1,1
10.67231083,1,ipd,8.971523542,1.700787291,1.189576194,0.840635518
8.586672193,2,ipd,8.584487645,0.002184548,1.000254476,0.999745589
9.01648103,3,ipd,9.004628727,0.011852303,1.001316246,0.998685485
7.200059695,1,ghy,7.200059695,0,1,1
8.466505502,2,ghy,8.466505502,0,1,1
8.845299695,3,ghy,8.845299695,0,1,1
8.352140391,1,yfg,8.350565727,0.001574664,1.00018857,0.999811466
8.324987271,2,yfg,8.323831829,0.001155442,1.000138811,0.999861208
12.39406384,3,yfg,8.448105721,3.94595812,1.467082,0.681625158
8.683225063,1,srl,8.683180183,4.48799E-05,1.000005169,0.999994831
10.95520165,2,srl,8.044265585,2.910936061,1.361864738,0.734287314
8.901506493,3,srl,8.899797196,0.001709297,1.00019206,0.999807977
8.830905353,1,sre,8.553516296,0.277389057,1.032429827,0.968588831
8.459452473,2,sre,8.443147617,0.016304856,1.001931135,0.998072587
8.747803602,3,sre,8.661242513,0.086561089,1.009994073,0.99010482
7.306044757,1,thh,7.306044757,0,1,1
9.756875965,2,thh,8.072914029,1.683961936,1.208594063,0.827407672
10.32837482,3,thh,8.47339811,1.854976714,1.218917687,0.820399942
9.353910383,1,yel,8.914007984,0.439902399,1.049349563,0.952971284
8.764811017,2,yel,8.121166143,0.643644875,1.079255228,0.926564889
17.69625512,3,yel,8.990131508,8.706123608,1.968408927,0.50802452
8.500985144,1,blu,8.480142369,0.020842775,1.002457833,0.997548193
16.79320321,2,blu,11.19046245,5.60274076,1.500671066,0.666368549
8.713259454,3,blu,8.693607498,0.019651956,1.002260506,0.997744592
7.465162757,1,gol,7.465060666,0.000102091,1.000013676,0.999986324
6.77400636,2,gol,6.77400636,0,1,1
8.030147518,3,gol,8.030147518,0,1,1
6.8519943,1,rua,6.8519943,0,1,1
11.30867087,2,rua,7.550192716,3.758478157,1.49779897,0.66764634
7.261516327,3,rua,7.261516327,0,1,1
23.83718875,1,swp,8.630260892,15.20692786,2.762047295,0.362050281
6.502489869,2,swp,6.502489869,0,1,1
6.737593351,3,swp,6.661679712,0.075913639,1.01139557,0.988732826
7.511386246,1,fal,7.511386246,0,1,1
8.851493872,2,fal,8.843897526,0.007596345,1.000858936,0.999141801
8.519918586,3,fal,8.519918586,0,1,1
